balance_level,balance_strategy,img_size,model,rag_alpha,rag_chunk,rag_enable,rag_index_source,rag_k,rag_metric,rag_model,rag_temp,rag_train_index_size,rag_tta,rag_weighted,seed,test05_acc,test05_auc,test05_f1,test05_fn,test05_fp,test05_precision,test05_recall,test05_specificity,test05_tn,test05_tp,test_loss,testsel_acc,testsel_auc,testsel_f1,testsel_fn,testsel_fp,testsel_precision,testsel_recall,testsel_specificity,testsel_tn,testsel_tp,testtuned_acc,testtuned_auc,testtuned_f1,testtuned_fn,testtuned_fp,testtuned_precision,testtuned_recall,testtuned_specificity,testtuned_tn,testtuned_tp,thr_selected,thr_selected_tag,thr_val,threshold,threshold_strategy,tta,val_auc_convnext_tiny,val_auc_densenet121,val_auc_efficientnet_b0,val_auc_efficientnetv2_s,val_auc_mobilenet_v3_large,val_auc_resnet50,val_auc_vit_b_16,w_convnext_tiny,w_densenet121,w_efficientnet_b0,w_efficientnetv2_s,w_mobilenet_v3_large,w_resnet50,w_vit_b_16
train,none,224,efficientnetv2_s,,,,,,,,,,,,12345,0.8031914893617021,0.87942771431868,0.7375886524822695,29.0,8.0,0.8666666666666667,0.6419753086419753,0.9252336448598131,99.0,52.0,0.08301713971168477,0.824468085106383,0.87942771431868,0.7814569536423841,22.0,11.0,0.8428571428571429,0.7283950617283951,0.897196261682243,96.0,59.0,0.824468085106383,0.87942771431868,0.7814569536423841,22.0,11.0,0.8428571428571429,0.7283950617283951,0.897196261682243,96.0,59.0,0.3931441903114319,val_thr,0.3931441903114319,0.3931441903114319,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,convnext_tiny,,,,,,,,,,,,12345,0.8404255319148937,0.9230414214837891,0.8026315789473685,20.0,10.0,0.8591549295774648,0.7530864197530864,0.9065420560747663,97.0,61.0,0.05056129514110928,0.8404255319148937,0.9230414214837891,0.8125,16.0,14.0,0.8227848101265823,0.8024691358024691,0.8691588785046729,93.0,65.0,0.8404255319148937,0.9230414214837891,0.8125,16.0,14.0,0.8227848101265823,0.8024691358024691,0.8691588785046729,93.0,65.0,0.39668580889701843,val_thr,0.39668580889701843,0.39668580889701843,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,vit_b_16,,,,,,,,,,,,12345,0.8457446808510638,0.91231106495904,0.8129032258064516,18.0,11.0,0.8513513513513513,0.7777777777777778,0.897196261682243,96.0,63.0,0.10948484443624112,0.8563829787234043,0.91231106495904,0.8235294117647058,18.0,9.0,0.875,0.7777777777777778,0.9158878504672897,98.0,63.0,0.8563829787234043,0.91231106495904,0.8235294117647058,18.0,9.0,0.875,0.7777777777777778,0.9158878504672897,98.0,63.0,0.5674453377723694,val_thr,0.5674453377723694,0.5674453377723694,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,resnet50,,,,,,,,,,,,12345,0.7872340425531915,0.8990423445252106,0.7297297297297297,27.0,13.0,0.8059701492537313,0.6666666666666666,0.8785046728971962,94.0,54.0,0.4627766894533279,0.7978723404255319,0.8990423445252106,0.7710843373493976,17.0,21.0,0.7529411764705882,0.7901234567901234,0.8037383177570093,86.0,64.0,0.7978723404255319,0.8990423445252106,0.7710843373493976,17.0,21.0,0.7529411764705882,0.7901234567901234,0.8037383177570093,86.0,64.0,0.32329756021499634,val_thr,0.32329756021499634,0.32329756021499634,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,densenet121,,,,,,,,,,,,12345,0.8351063829787234,0.9027345102111457,0.7832167832167832,25.0,6.0,0.9032258064516129,0.691358024691358,0.9439252336448598,101.0,56.0,0.46545658720300553,0.824468085106383,0.9027345102111457,0.7814569536423841,22.0,11.0,0.8428571428571429,0.7283950617283951,0.897196261682243,96.0,59.0,0.824468085106383,0.9027345102111457,0.7814569536423841,22.0,11.0,0.8428571428571429,0.7283950617283951,0.897196261682243,96.0,59.0,0.4385656416416168,val_thr,0.4385656416416168,0.4385656416416168,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,efficientnet_b0,,,,,,,,,,,,12345,0.7659574468085106,0.8478135456328604,0.6986301369863014,30.0,14.0,0.7846153846153846,0.6296296296296297,0.8691588785046729,93.0,51.0,0.06819483629883603,0.7606382978723404,0.8478135456328604,0.6938775510204082,30.0,15.0,0.7727272727272727,0.6296296296296297,0.8598130841121495,92.0,51.0,0.7606382978723404,0.8478135456328604,0.6938775510204082,30.0,15.0,0.7727272727272727,0.6296296296296297,0.8598130841121495,92.0,51.0,0.48203375935554504,val_thr,0.48203375935554504,0.48203375935554504,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,mobilenet_v3_large,,,,,,,,,,,,12345,0.824468085106383,0.9117341640706126,0.7555555555555555,30.0,3.0,0.9444444444444444,0.6296296296296297,0.9719626168224299,104.0,51.0,0.09538629547038928,0.8404255319148937,0.9117341640706126,0.8,21.0,9.0,0.8695652173913043,0.7407407407407407,0.9158878504672897,98.0,60.0,0.8404255319148937,0.9117341640706126,0.8,21.0,9.0,0.8695652173913043,0.7407407407407407,0.9158878504672897,98.0,60.0,0.37633270025253296,val_thr,0.37633270025253296,0.37633270025253296,f1_at_precision,16,,,,,,,,,,,,,,
train,none,mixed,weighted_ensemble,,,,,,,,,,,,12345,0.8297872340425532,0.921310718818507,0.7714285714285715,27.0,5.0,0.9152542372881356,0.6666666666666666,0.9532710280373832,102.0,54.0,nan,0.8617021276595744,0.921310718818507,0.8289473684210527,18.0,8.0,0.8873239436619719,0.7777777777777778,0.9252336448598131,99.0,63.0,0.8617021276595744,0.921310718818507,0.8289473684210527,18.0,8.0,0.8873239436619719,0.7777777777777778,0.9252336448598131,99.0,63.0,0.38941953773610294,val_thr,0.38941953773610294,0.38941953773610294,f1_at_precision,16,0.9004120879120878,0.9075091575091575,0.8782051282051283,0.9097985347985348,0.9091117216117216,0.9043040293040293,0.8967490842490844,0.06582840708366282,0.025652310333376324,0.11388830520033551,0.09360581795847452,0.6229192835441782,0.05223560837691258,0.025870267503060096
train,none,mixed,weighted_ensemble_rag,0.25,512,1,train_orig_only,25,cosine,efficientnetv2_s,0.07,552,0,1,12345,0.8297872340425532,0.9220029998846198,0.7714285714285715,27.0,5.0,0.9152542372881356,0.6666666666666666,0.9532710280373832,102.0,54.0,nan,0.8404255319148937,0.9220029998846198,0.810126582278481,17.0,13.0,0.8311688311688312,0.7901234567901234,0.8785046728971962,94.0,64.0,0.8404255319148937,0.9220029998846198,0.810126582278481,17.0,13.0,0.8311688311688312,0.7901234567901234,0.8785046728971962,94.0,64.0,0.2920646369457245,val_thr,0.2920646369457245,0.2920646369457245,f1_at_precision,16,0.9004120879120878,0.9075091575091575,0.8782051282051283,0.9097985347985348,0.9091117216117216,0.9043040293040293,0.8967490842490844,0.06582840708366282,0.025652310333376324,0.11388830520033551,0.09360581795847452,0.6229192835441782,0.05223560837691258,0.025870267503060096
