balance_level,balance_strategy,img_size,model,rag_alpha,rag_chunk,rag_enable,rag_index_source,rag_k,rag_metric,rag_model,rag_temp,rag_train_index_size,rag_tta,rag_weighted,seed,test05_acc,test05_auc,test05_f1,test05_fn,test05_fp,test05_precision,test05_recall,test05_specificity,test05_tn,test05_tp,test_loss,testsel_acc,testsel_auc,testsel_f1,testsel_fn,testsel_fp,testsel_precision,testsel_recall,testsel_specificity,testsel_tn,testsel_tp,testtuned_acc,testtuned_auc,testtuned_f1,testtuned_fn,testtuned_fp,testtuned_precision,testtuned_recall,testtuned_specificity,testtuned_tn,testtuned_tp,thr_selected,thr_selected_tag,thr_val,threshold,threshold_strategy,tta,val_auc_convnext_tiny,val_auc_densenet121,val_auc_efficientnet_b0,val_auc_efficientnetv2_s,val_auc_mobilenet_v3_large,val_auc_resnet50,val_auc_vit_b_16,w_convnext_tiny,w_densenet121,w_efficientnet_b0,w_efficientnetv2_s,w_mobilenet_v3_large,w_resnet50,w_vit_b_16
train,none,224,efficientnetv2_s,,,,,,,,,,,,12349,0.7658227848101266,0.8748396554883635,0.5316455696202531,30.0,7.0,0.75,0.4117647058823529,0.9345794392523364,100.0,21.0,0.29699655934649555,0.8037974683544303,0.8748396554883635,0.6736842105263158,19.0,12.0,0.7272727272727273,0.6274509803921569,0.8878504672897196,95.0,32.0,0.8037974683544303,0.8748396554883635,0.6736842105263158,19.0,12.0,0.7272727272727273,0.6274509803921569,0.8878504672897196,95.0,32.0,0.2740976810455322,val_thr,0.2740976810455322,0.2740976810455322,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,convnext_tiny,,,,,,,,,,,,12349,0.810126582278481,0.8873007146783948,0.6808510638297872,19.0,11.0,0.7441860465116279,0.6274509803921569,0.897196261682243,96.0,32.0,0.07739054713445374,0.8227848101265823,0.8873007146783948,0.7083333333333334,17.0,11.0,0.7555555555555555,0.6666666666666666,0.897196261682243,96.0,34.0,0.8227848101265823,0.8873007146783948,0.7083333333333334,17.0,11.0,0.7555555555555555,0.6666666666666666,0.897196261682243,96.0,34.0,0.43714550137519836,val_thr,0.43714550137519836,0.43714550137519836,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,vit_b_16,,,,,,,,,,,,12349,0.8417721518987342,0.8753894080996886,0.7252747252747253,18.0,7.0,0.825,0.6470588235294118,0.9345794392523364,100.0,33.0,0.1639070100610769,0.810126582278481,0.8753894080996886,0.7115384615384616,14.0,16.0,0.6981132075471698,0.7254901960784313,0.8504672897196262,91.0,37.0,0.810126582278481,0.8753894080996886,0.7115384615384616,14.0,16.0,0.6981132075471698,0.7254901960784313,0.8504672897196262,91.0,37.0,0.23381325602531433,val_thr,0.23381325602531433,0.23381325602531433,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,resnet50,,,,,,,,,,,,12349,0.8544303797468354,0.884185449880887,0.7415730337078652,18.0,5.0,0.868421052631579,0.6470588235294118,0.9532710280373832,102.0,33.0,0.44892016241822064,0.8481012658227848,0.884185449880887,0.7073170731707317,22.0,2.0,0.9354838709677419,0.5686274509803921,0.9813084112149533,105.0,29.0,0.8481012658227848,0.884185449880887,0.7073170731707317,22.0,2.0,0.9354838709677419,0.5686274509803921,0.9813084112149533,105.0,29.0,0.6092411279678345,val_thr,0.6092411279678345,0.6092411279678345,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,densenet121,,,,,,,,,,,,12349,0.8291139240506329,0.9081913139087411,0.7272727272727273,15.0,12.0,0.75,0.7058823529411765,0.8878504672897196,95.0,36.0,0.41588939707490463,0.8291139240506329,0.9081913139087411,0.7272727272727273,15.0,12.0,0.75,0.7058823529411765,0.8878504672897196,95.0,36.0,0.8291139240506329,0.9081913139087411,0.7272727272727273,15.0,12.0,0.75,0.7058823529411765,0.8878504672897196,95.0,36.0,0.504780650138855,val_thr,0.504780650138855,0.504780650138855,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,efficientnet_b0,,,,,,,,,,,,12349,0.8227848101265823,0.8618288436870075,0.6888888888888889,20.0,8.0,0.7948717948717948,0.6078431372549019,0.9252336448598131,99.0,31.0,0.07374936445981642,0.8037974683544303,0.8618288436870075,0.7102803738317757,13.0,18.0,0.6785714285714286,0.7450980392156863,0.8317757009345794,89.0,38.0,0.8037974683544303,0.8618288436870075,0.7102803738317757,13.0,18.0,0.6785714285714286,0.7450980392156863,0.8317757009345794,89.0,38.0,0.24888980388641357,val_thr,0.24888980388641357,0.24888980388641357,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,mobilenet_v3_large,,,,,,,,,,,,12349,0.8544303797468354,0.9226681326736301,0.7526881720430108,16.0,7.0,0.8333333333333334,0.6862745098039216,0.9345794392523364,100.0,35.0,0.0736533558427922,0.8670886075949367,0.9226681326736301,0.7835051546391752,13.0,8.0,0.8260869565217391,0.7450980392156863,0.9252336448598131,99.0,38.0,0.8670886075949367,0.9226681326736301,0.7835051546391752,13.0,8.0,0.8260869565217391,0.7450980392156863,0.9252336448598131,99.0,38.0,0.42471814155578613,val_thr,0.42471814155578613,0.42471814155578613,f1_at_precision,16,,,,,,,,,,,,,,
train,none,mixed,weighted_ensemble,,,,,,,,,,,,12349,0.8544303797468354,0.916254352208173,0.7415730337078652,18.0,5.0,0.868421052631579,0.6470588235294118,0.9532710280373832,102.0,33.0,nan,0.8670886075949367,0.916254352208173,0.7692307692307693,16.0,5.0,0.875,0.6862745098039216,0.9532710280373832,102.0,35.0,0.8670886075949367,0.916254352208173,0.7692307692307693,16.0,5.0,0.875,0.6862745098039216,0.9532710280373832,102.0,35.0,0.48486803674313705,val_thr,0.48486803674313705,0.48486803674313705,f1_at_precision,16,0.9485852311939269,0.944271911663216,0.9109730848861284,0.9432367149758454,0.951863354037267,0.9656659765355418,0.9656659765355418,0.013349646522890226,0.10804253344813484,0.09387743691148649,0.000550166124162715,0.17522135254177074,0.46856399037351515,0.1403948740780398
train,none,mixed,weighted_ensemble_rag,0.25,512,1,train_orig_only,25,cosine,efficientnetv2_s,0.07,565,0,1,12349,0.8417721518987342,0.9114898295766904,0.7126436781609196,20.0,5.0,0.8611111111111112,0.6078431372549019,0.9532710280373832,102.0,31.0,nan,0.8544303797468354,0.9114898295766904,0.7415730337078652,18.0,5.0,0.868421052631579,0.6470588235294118,0.9532710280373832,102.0,33.0,0.8544303797468354,0.9114898295766904,0.7415730337078652,18.0,5.0,0.868421052631579,0.6470588235294118,0.9532710280373832,102.0,33.0,0.409257709980011,val_thr,0.409257709980011,0.409257709980011,f1_at_precision,16,0.9485852311939269,0.944271911663216,0.9109730848861284,0.9432367149758454,0.951863354037267,0.9656659765355418,0.9656659765355418,0.013349646522890226,0.10804253344813484,0.09387743691148649,0.000550166124162715,0.17522135254177074,0.46856399037351515,0.1403948740780398
