balance_level,balance_strategy,img_size,model,rag_alpha,rag_chunk,rag_enable,rag_index_source,rag_k,rag_metric,rag_model,rag_temp,rag_train_index_size,rag_tta,rag_weighted,seed,test05_acc,test05_auc,test05_f1,test05_fn,test05_fp,test05_precision,test05_recall,test05_specificity,test05_tn,test05_tp,test_loss,testsel_acc,testsel_auc,testsel_f1,testsel_fn,testsel_fp,testsel_precision,testsel_recall,testsel_specificity,testsel_tn,testsel_tp,testtuned_acc,testtuned_auc,testtuned_f1,testtuned_fn,testtuned_fp,testtuned_precision,testtuned_recall,testtuned_specificity,testtuned_tn,testtuned_tp,thr_selected,thr_selected_tag,thr_val,threshold,threshold_strategy,tta,val_auc_convnext_tiny,val_auc_densenet121,val_auc_efficientnet_b0,val_auc_efficientnetv2_s,val_auc_mobilenet_v3_large,val_auc_resnet50,val_auc_vit_b_16,w_convnext_tiny,w_densenet121,w_efficientnet_b0,w_efficientnetv2_s,w_mobilenet_v3_large,w_resnet50,w_vit_b_16
train,none,224,efficientnetv2_s,,,,,,,,,,,,12348,0.8358974358974359,0.9264130434782609,0.7894736842105263,20.0,12.0,0.8333333333333334,0.75,0.8956521739130435,103.0,60.0,0.03483869285137655,0.8256410256410256,0.9264130434782609,0.7702702702702703,23.0,11.0,0.8382352941176471,0.7125,0.9043478260869565,104.0,57.0,0.8256410256410256,0.9264130434782609,0.7702702702702703,23.0,11.0,0.8382352941176471,0.7125,0.9043478260869565,104.0,57.0,0.5702469944953918,val_thr,0.5702469944953918,0.5702469944953918,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,convnext_tiny,,,,,,,,,,,,12348,0.8615384615384616,0.927391304347826,0.8343558282208589,12.0,15.0,0.8192771084337349,0.85,0.8695652173913043,100.0,68.0,0.07035636947705196,0.8717948717948718,0.927391304347826,0.8538011695906432,7.0,18.0,0.8021978021978022,0.9125,0.8434782608695652,97.0,73.0,0.8717948717948718,0.927391304347826,0.8538011695906432,7.0,18.0,0.8021978021978022,0.9125,0.8434782608695652,97.0,73.0,0.43523532152175903,val_thr,0.43523532152175903,0.43523532152175903,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,vit_b_16,,,,,,,,,,,,12348,0.8307692307692308,0.9217391304347826,0.8156424581005587,7.0,26.0,0.7373737373737373,0.9125,0.7739130434782608,89.0,73.0,0.0923596602363082,0.8461538461538461,0.9217391304347826,0.8255813953488372,9.0,21.0,0.7717391304347826,0.8875,0.8173913043478261,94.0,71.0,0.8461538461538461,0.9217391304347826,0.8255813953488372,9.0,21.0,0.7717391304347826,0.8875,0.8173913043478261,94.0,71.0,0.5588286519050598,val_thr,0.5588286519050598,0.5588286519050598,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,resnet50,,,,,,,,,,,,12348,0.8615384615384616,0.9320652173913044,0.8363636363636363,11.0,16.0,0.8117647058823529,0.8625,0.8608695652173913,99.0,69.0,0.4069422857883649,0.8666666666666667,0.9320652173913044,0.8433734939759037,10.0,16.0,0.813953488372093,0.875,0.8608695652173913,99.0,70.0,0.8666666666666667,0.9320652173913044,0.8433734939759037,10.0,16.0,0.813953488372093,0.875,0.8608695652173913,99.0,70.0,0.49068742990493774,val_thr,0.49068742990493774,0.49068742990493774,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,densenet121,,,,,,,,,,,,12348,0.8512820512820513,0.9177173913043478,0.8198757763975155,14.0,15.0,0.8148148148148148,0.825,0.8695652173913043,100.0,66.0,0.4372158846029868,0.8615384615384616,0.9177173913043478,0.8383233532934131,10.0,17.0,0.8045977011494253,0.875,0.8521739130434782,98.0,70.0,0.8615384615384616,0.9177173913043478,0.8383233532934131,10.0,17.0,0.8045977011494253,0.875,0.8521739130434782,98.0,70.0,0.3991812467575073,val_thr,0.3991812467575073,0.3991812467575073,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,efficientnet_b0,,,,,,,,,,,,12348,0.8512820512820513,0.9058695652173914,0.8027210884353742,21.0,8.0,0.8805970149253731,0.7375,0.9304347826086956,107.0,59.0,0.11959832109606419,0.8564102564102564,0.9058695652173914,0.8227848101265823,15.0,13.0,0.8333333333333334,0.8125,0.8869565217391304,102.0,65.0,0.8564102564102564,0.9058695652173914,0.8227848101265823,15.0,13.0,0.8333333333333334,0.8125,0.8869565217391304,102.0,65.0,0.4283101558685303,val_thr,0.4283101558685303,0.4283101558685303,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,mobilenet_v3_large,,,,,,,,,,,,12348,0.8,0.8852173913043477,0.7310344827586207,27.0,12.0,0.8153846153846154,0.6625,0.8956521739130435,103.0,53.0,0.10397127363890506,0.8102564102564103,0.8852173913043477,0.7375886524822695,28.0,9.0,0.8524590163934426,0.65,0.9217391304347826,106.0,52.0,0.8102564102564103,0.8852173913043477,0.7375886524822695,28.0,9.0,0.8524590163934426,0.65,0.9217391304347826,106.0,52.0,0.5296131372451782,val_thr,0.5296131372451782,0.5296131372451782,f1_at_precision,16,,,,,,,,,,,,,,
train,none,mixed,weighted_ensemble,,,,,,,,,,,,12348,0.882051282051282,0.9403260869565218,0.8654970760233918,6.0,17.0,0.8131868131868132,0.925,0.8521739130434782,98.0,74.0,nan,0.8666666666666667,0.9403260869565218,0.8539325842696629,4.0,22.0,0.7755102040816326,0.95,0.808695652173913,93.0,76.0,0.8666666666666667,0.9403260869565218,0.8539325842696629,4.0,22.0,0.7755102040816326,0.95,0.808695652173913,93.0,76.0,0.3686959305778146,val_thr,0.3686959305778146,0.3686959305778146,f1_at_precision,16,0.9464985994397759,0.9470588235294117,0.938655462184874,0.9240896358543417,0.9173669467787114,0.9554621848739495,0.9403361344537815,0.21311379326306842,0.029890527507673285,0.09365856154063959,0.023092696965943384,0.10693374107118583,0.15638982812795252,0.37692085152353705
train,none,mixed,weighted_ensemble_rag,0.25,512,1,train_orig_only,25,cosine,efficientnetv2_s,0.07,554,0,1,12348,0.8512820512820513,0.9401086956521739,0.8220858895705522,13.0,16.0,0.8072289156626506,0.8375,0.8608695652173913,99.0,67.0,nan,0.8512820512820513,0.9401086956521739,0.8379888268156425,5.0,24.0,0.7575757575757576,0.9375,0.7913043478260869,91.0,75.0,0.8512820512820513,0.9401086956521739,0.8379888268156425,5.0,24.0,0.7575757575757576,0.9375,0.7913043478260869,91.0,75.0,0.3398842215538025,val_thr,0.3398842215538025,0.3398842215538025,f1_at_precision,16,0.9464985994397759,0.9470588235294117,0.938655462184874,0.9240896358543417,0.9173669467787114,0.9554621848739495,0.9403361344537815,0.21311379326306842,0.029890527507673285,0.09365856154063959,0.023092696965943384,0.10693374107118583,0.15638982812795252,0.37692085152353705
