model,n_folds,testsel_acc_mean,testsel_acc_std,testsel_auc_mean,testsel_auc_std,testsel_f1_mean,testsel_f1_std,testsel_fn_mean,testsel_fn_std,testsel_fp_mean,testsel_fp_std,testsel_precision_mean,testsel_precision_std,testsel_recall_mean,testsel_recall_std,testsel_specificity_mean,testsel_specificity_std,testsel_tn_mean,testsel_tn_std,testsel_tp_mean,testsel_tp_std
efficientnetv2_s,5,0.8136743437230296,0.02913979150317524,0.9061163181523959,0.02857190586715697,0.757488301925388,0.0519419878602007,15.4,8.44393273303382,17.2,10.709808588392232,0.7609587471352178,0.09001132986024667,0.7725977798526819,0.12346439682145892,0.8395006328169918,0.09835743638089642,90.2,12.19426094521517,52.4,11.631852818876277
convnext_tiny,5,0.8647331486689322,0.041196356491201534,0.9284137539843584,0.030305236045628334,0.8158792815371763,0.07274594903799934,12.8,5.310367218940701,10.8,5.449770637375485,0.8369016782410004,0.06537575640287333,0.8004839065255732,0.10431879885692036,0.9006711561634786,0.04645767154767958,96.6,4.505552130427525,55.0,15.411035007422441
vit_b_16,5,0.8453928826728504,0.02231079490746049,0.9191750770665161,0.028594545820995198,0.8018094764332794,0.05130018382893781,11.2,4.764451699828639,15.8,5.357238094391549,0.7794422742707289,0.069560607209946,0.8308321661998133,0.07665351312971387,0.8539747545727809,0.04464981912615967,91.6,4.505552130427525,56.6,12.660963628413123
resnet50,5,0.8520891763984537,0.03567922970812695,0.91908619387828,0.025975771112303304,0.7950272498067695,0.06317449135043837,14.6,6.9498201415576215,11.4,7.829431652425353,0.8439564327856675,0.07259194199711032,0.7708077212366428,0.1415700818653159,0.8952290377276864,0.07091487965572774,96.0,6.96419413859206,53.2,16.60421633200435
densenet121,5,0.8505870713745196,0.0226446039629396,0.9269568730324957,0.02511672227321546,0.800037173257745,0.04615561270825321,13.8,6.099180272790763,12.4,5.594640292279745,0.8164362732388781,0.06917982014351895,0.7923118321402636,0.09153755238146002,0.8863357973865004,0.04822821209652998,95.0,2.5495097567963922,54.0,12.942179105544785
efficientnet_b0,5,0.8293415444974332,0.04602316507635435,0.8926814640033445,0.03581116841931635,0.7735980789837309,0.06558572279862097,16.0,8.276472678623424,14.0,4.358898943540674,0.7853510644606535,0.07455322322769857,0.7680010893246187,0.09109845516875982,0.870374986665299,0.03886333555803677,93.4,4.979959839195494,51.8,9.884331034521253
mobilenet_v3_large,5,0.8581320019107161,0.03285132946215591,0.922124861586636,0.025336184061157462,0.8053356337051161,0.04977259825978326,15.6,9.423375191511797,9.6,3.7815340802378077,0.8466352250742842,0.038989561312795816,0.7765229147214441,0.11153205311288354,0.9110931148660274,0.03349461357348347,97.8,5.357238094391549,52.2,9.284395510748128
weighted_ensemble,5,0.8729057956629054,0.02321617540296967,0.9387704089401938,0.020319190238095617,0.8333587406023171,0.04323262182552828,10.0,6.6332495807108,12.4,8.384509526501834,0.836042846549328,0.07279595355158129,0.8449136321195144,0.11189136499554694,0.8867867428012666,0.07258776142764022,95.0,5.522680508593631,57.8,14.92313639956427
weighted_ensemble_rag,5,0.863386342587797,0.029954276895697168,0.930693951905275,0.017073283031568732,0.817894551645379,0.058834464160286884,11.75,6.701989754294367,12.5,8.34665601703261,0.833041410344042,0.053885105037854535,0.815892792302106,0.12817398428861435,0.8855679919881464,0.0698803612330408,94.5,5.196152422706632,57.0,17.795130420052185
