balance_level,balance_strategy,img_size,model,seed,test05_acc,test05_auc,test05_f1,test05_fn,test05_fp,test05_precision,test05_recall,test05_specificity,test05_tn,test05_tp,test_loss,testsel_acc,testsel_auc,testsel_f1,testsel_fn,testsel_fp,testsel_precision,testsel_recall,testsel_specificity,testsel_tn,testsel_tp,testtuned_acc,testtuned_auc,testtuned_f1,testtuned_fn,testtuned_fp,testtuned_precision,testtuned_recall,testtuned_specificity,testtuned_tn,testtuned_tp,thr_selected,thr_selected_tag,thr_val,threshold,threshold_strategy,tta,val_auc_convnext_tiny,val_auc_densenet121,val_auc_efficientnet_b0,val_auc_efficientnetv2_s,val_auc_mobilenet_v3_large,val_auc_resnet50,val_auc_vit_b_16,w_convnext_tiny,w_densenet121,w_efficientnet_b0,w_efficientnetv2_s,w_mobilenet_v3_large,w_resnet50,w_vit_b_16
train,none,224,efficientnetv2_s,12346,0.9190751445086706,0.9400086009174312,0.890625,7.0,7.0,0.890625,0.890625,0.9357798165137615,102.0,57.0,0.08895564658535009,0.7687861271676301,0.9400086009174312,0.75,4.0,36.0,0.625,0.9375,0.6697247706422018,73.0,60.0,0.7687861271676301,0.9400086009174312,0.75,4.0,36.0,0.625,0.9375,0.6697247706422018,73.0,60.0,0.499968945980072,val_thr,0.499968945980072,0.499968945980072,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,convnext_tiny,12346,0.930635838150289,0.9724770642201835,0.9047619047619048,7.0,5.0,0.9193548387096774,0.890625,0.9541284403669725,104.0,57.0,0.03313893710688359,0.930635838150289,0.9724770642201835,0.9047619047619048,7.0,5.0,0.9193548387096774,0.890625,0.9541284403669725,104.0,57.0,0.930635838150289,0.9724770642201835,0.9047619047619048,7.0,5.0,0.9193548387096774,0.890625,0.9541284403669725,104.0,57.0,0.5069199204444885,val_thr,0.5069199204444885,0.5069199204444885,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,vit_b_16,12346,0.8728323699421965,0.951691513761468,0.8333333333333334,9.0,13.0,0.8088235294117647,0.859375,0.8807339449541285,96.0,55.0,0.047716807681701084,0.8439306358381503,0.951691513761468,0.8111888111888111,6.0,21.0,0.7341772151898734,0.90625,0.8073394495412844,88.0,58.0,0.8439306358381503,0.951691513761468,0.8111888111888111,6.0,21.0,0.7341772151898734,0.90625,0.8073394495412844,88.0,58.0,0.3500238358974457,val_thr,0.3500238358974457,0.3500238358974457,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,resnet50,12346,0.9190751445086706,0.9439506880733946,0.8870967741935484,9.0,5.0,0.9166666666666666,0.859375,0.9541284403669725,104.0,55.0,0.32644770987805605,0.8959537572254336,0.9439506880733946,0.8676470588235294,5.0,13.0,0.8194444444444444,0.921875,0.8807339449541285,96.0,59.0,0.8959537572254336,0.9439506880733946,0.8676470588235294,5.0,13.0,0.8194444444444444,0.921875,0.8807339449541285,96.0,59.0,0.37018778920173645,val_thr,0.37018778920173645,0.37018778920173645,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,densenet121,12346,0.9132947976878613,0.961295871559633,0.88,9.0,6.0,0.9016393442622951,0.859375,0.944954128440367,103.0,55.0,0.33034889710087306,0.861271676300578,0.961295871559633,0.8285714285714286,6.0,18.0,0.7631578947368421,0.90625,0.8348623853211009,91.0,58.0,0.861271676300578,0.961295871559633,0.8285714285714286,6.0,18.0,0.7631578947368421,0.90625,0.8348623853211009,91.0,58.0,0.2493385672569275,val_thr,0.2493385672569275,0.2493385672569275,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,efficientnet_b0,12346,0.861271676300578,0.9197247706422018,0.8,16.0,8.0,0.8571428571428571,0.75,0.926605504587156,101.0,48.0,0.06238274858736923,0.8554913294797688,0.9197247706422018,0.8175182481751825,8.0,17.0,0.7671232876712328,0.875,0.8440366972477065,92.0,56.0,0.8554913294797688,0.9197247706422018,0.8175182481751825,8.0,17.0,0.7671232876712328,0.875,0.8440366972477065,92.0,56.0,0.43697458505630493,val_thr,0.43697458505630493,0.43697458505630493,f1_at_precision,16,,,,,,,,,,,,,,
train,none,224,mobilenet_v3_large,12346,0.9190751445086706,0.9469610091743119,0.8870967741935484,9.0,5.0,0.9166666666666666,0.859375,0.9541284403669725,104.0,55.0,0.04298595126685983,0.8901734104046243,0.9469610091743119,0.8652482269503546,3.0,16.0,0.7922077922077922,0.953125,0.8532110091743119,93.0,61.0,0.8901734104046243,0.9469610091743119,0.8652482269503546,3.0,16.0,0.7922077922077922,0.953125,0.8532110091743119,93.0,61.0,0.3189263641834259,val_thr,0.3189263641834259,0.3189263641834259,f1_at_precision,16,,,,,,,,,,,,,,
train,none,mixed,weighted_ensemble,12346,0.9248554913294798,0.9650229357798163,0.8992248062015504,6.0,7.0,0.8923076923076924,0.90625,0.9357798165137615,102.0,58.0,nan,0.8554913294797688,0.9650229357798163,0.8275862068965517,4.0,21.0,0.7407407407407407,0.9375,0.8073394495412844,88.0,60.0,0.8554913294797688,0.9650229357798163,0.8275862068965517,4.0,21.0,0.7407407407407407,0.9375,0.8073394495412844,88.0,60.0,0.3234127932228148,val_thr,0.3234127932228148,0.3234127932228148,f1_at_precision,16,0.9044091710758377,0.9119929453262786,0.8483245149911817,0.8990299823633158,0.9052910052910053,0.9139329805996473,0.9139329805996473,0.13553107226990538,0.03213376951185298,0.1323778745263929,0.08416673025825383,0.08779520448809947,0.051454524404753725,0.4765408245407417
